Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2009,"SEA",162,2150,6113,160,640,613,89,0.068869622,0.17879928,0.143965362,0.293031841,0.257983041,0.313686643,0.401948403,0.31259496365919903,,89.22951448802985,-4.473635382950306,-86.96228077905107,46.22871630638838,17.306794481484506
2001,"NYY",161,1867,6233,203,804,774,161,0.083266484,0.16605166,0.168190784,0.293245093,0.266810112,0.333870707,0.435000896,0.33151881960670054,,103.45463984215576,9.317444455169607,35.748215721171604,-73.7650597426109,17.298155388163504
2022,"TEX",162,2365,6029,198,707,670,128,0.075634433,0.239840769,0.156626506,0.286673553,0.238773274,0.300880544,0.39539978,0.3046314408244518,,97.77449381469944,8.075137746986002,-7.023627494893509,-18.970232386142015,17.29172991550648
2009,"SFG",162,2304,6057,122,657,612,78,0.064718507,0.191183754,0.132350264,0.302014995,0.256872383,0.309348914,0.389222647,0.3050713905929056,,82.8655387648072,10.005391865968704,-118.06176196283772,100.795813906705,17.273168627264972
2008,"LAA",162,2229,6155,159,765,721,129,0.078147847,0.160357432,0.144584838,0.29860486,0.268231046,0.329740323,0.412815884,0.32449892560411886,,96.13084201230393,-1.0050524331163615,-30.922180383304998,-9.19587729126215,17.208446658688903
1999,"STL",161,2275,6354,194,809,763,134,0.096474661,0.189172175,0.163375224,0.300379326,0.262298025,0.338483593,0.425673249,0.3340670807089376,,91.9743951967909,5.187503572014975,-64.6175091088619,38.523192428052425,17.20494250490341
2004,"MIN",162,2318,6286,191,780,735,116,0.081609926,0.156220171,0.16556998,0.290200445,0.265694469,0.331891025,0.431264449,0.3299282741819747,,96.5863953289185,5.51223586499691,-22.32098493910408,-15.610511829610914,17.196028994291897
1997,"CHW",161,2014,6201,158,779,740,106,0.091759393,0.145299145,0.143871791,0.298308103,0.272810052,0.341296928,0.416681843,0.3336475432045854,,100.28974462818091,-0.7527675909805112,1.1652521577302508,-43.1116025429219,17.17622467299882
2007,"OAK",162,2220,6365,171,741,711,52,0.104320502,0.175805184,0.150618612,0.289891779,0.256410256,0.337693034,0.407028868,0.32835045069555174,,99.40163321964765,-7.026394337415695,-12.108583982291435,-32.13851869478822,17.17010758104795
2002,"NYM",161,2389,6150,160,690,650,87,0.07902439,0.169756097,0.138646289,0.28898658,0.256368267,0.322304526,0.395014556,0.31438048718520945,,91.31516668378107,-6.122062132926658,-73.14517835379512,44.42467081081122,17.140190657558975
2006,"BAL",162,2295,6240,164,768,727,121,0.075961538,0.140705128,0.146167558,0.302017791,0.277361853,0.339303,0.423529411,0.3311279132132907,,96.07392493382231,-4.451063708867878,-36.35604416853165,-2.7034133598208427,17.129278756499446
2008,"DET",162,2267,6331,200,821,780,63,0.090349075,0.169957352,0.172841694,0.301428895,0.271051232,0.340422155,0.443892926,0.342762226595473,,106.3461798332705,-6.737829382531345,42.29692287906618,-89.6010920163244,17.098556104448217
2015,"DET",161,2340,6159,151,689,660,83,0.073875629,0.204416301,0.14986619,0.322458628,0.27029438,0.32773794,0.42016057,0.3236052326784759,,102.73916298450375,-27.610914745368063,-8.571443456432451,-31.61631782539189,17.09626601208799
2015,"LAA",162,2459,5990,176,661,621,52,0.072621035,0.191986644,0.150083072,0.279593318,0.245707956,0.306554621,0.395791028,0.30495821829177466,,94.60963842891138,0.5214869705960155,-37.00770121937832,2.319983681663871,17.093893114750415
1993,"BOS",162,1832,6196,114,686,644,73,0.081988379,0.140574564,0.130822416,0.293201754,0.264010189,0.330498773,0.394832605,0.32157157212150755,,89.93836597635406,0.13707777997478843,-76.59180880219085,50.82719832658768,17.079391343471812
2000,"KCR",162,1875,6394,150,879,831,121,0.079918673,0.131373162,0.13750219,0.311964919,0.287966368,0.347585989,0.425468558,0.3384905313444213,,89.49751752717017,8.944882274838164,-82.75413235366682,33.13588987104595,17.06820959083892
